Calculating heatmap for κ = 0.3 MHz
Progress: 1/231 (input power: 10 dB, target frequency: -20.0 MHz)
Progress: 2/231 (input power: 10 dB, target frequency: -18.0 MHz)
Progress: 3/231 (input power: 10 dB, target frequency: -16.0 MHz)
Progress: 4/231 (input power: 10 dB, target frequency: -14.0 MHz)
Progress: 5/231 (input power: 10 dB, target frequency: -12.0 MHz)
Progress: 6/231 (input power: 10 dB, target frequency: -10.0 MHz)
Progress: 7/231 (input power: 10 dB, target frequency: -8.0 MHz)
Progress: 8/231 (input power: 10 dB, target frequency: -6.0 MHz)
Progress: 9/231 (input power: 10 dB, target frequency: -4.0 MHz)
Progress: 10/231 (input power: 10 dB, target frequency: -2.0 MHz)
Progress: 11/231 (input power: 10 dB, target frequency: 0.0 MHz)
Progress: 12/231 (input power: 10 dB, target frequency: 2.0 MHz)
Progress: 13/231 (input power: 10 dB, target frequency: 4.0 MHz)
Progress: 14/231 (input power: 10 dB, target frequency: 6.0 MHz)
Progress: 15/231 (input power: 10 dB, target frequency: 8.0 MHz)
Progress: 16/231 (input power: 10 dB, target frequency: 10.0 MHz)
Progress: 17/231 (input power: 10 dB, target frequency: 12.0 MHz)
Progress: 18/231 (input power: 10 dB, target frequency: 14.0 MHz)
Progress: 19/231 (input power: 10 dB, target frequency: 16.0 MHz)
Progress: 20/231 (input power: 10 dB, target frequency: 18.0 MHz)
Progress: 21/231 (input power: 10 dB, target frequency: 20.0 MHz)
Progress: 22/231 (input power: 8 dB, target frequency: -20.0 MHz)
Progress: 23/231 (input power: 8 dB, target frequency: -18.0 MHz)
Progress: 24/231 (input power: 8 dB, target frequency: -16.0 MHz)
Progress: 25/231 (input power: 8 dB, target frequency: -14.0 MHz)
Progress: 26/231 (input power: 8 dB, target frequency: -12.0 MHz)
Progress: 27/231 (input power: 8 dB, target frequency: -10.0 MHz)
Progress: 28/231 (input power: 8 dB, target frequency: -8.0 MHz)
Progress: 29/231 (input power: 8 dB, target frequency: -6.0 MHz)
Progress: 30/231 (input power: 8 dB, target frequency: -4.0 MHz)
Progress: 31/231 (input power: 8 dB, target frequency: -2.0 MHz)
Progress: 32/231 (input power: 8 dB, target frequency: 0.0 MHz)
Progress: 33/231 (input power: 8 dB, target frequency: 2.0 MHz)
Progress: 34/231 (input power: 8 dB, target frequency: 4.0 MHz)
Progress: 35/231 (input power: 8 dB, target frequency: 6.0 MHz)
Progress: 36/231 (input power: 8 dB, target frequency: 8.0 MHz)
Progress: 37/231 (input power: 8 dB, target frequency: 10.0 MHz)
Progress: 38/231 (input power: 8 dB, target frequency: 12.0 MHz)
Progress: 39/231 (input power: 8 dB, target frequency: 14.0 MHz)
Progress: 40/231 (input power: 8 dB, target frequency: 16.0 MHz)
Progress: 41/231 (input power: 8 dB, target frequency: 18.0 MHz)
Progress: 42/231 (input power: 8 dB, target frequency: 20.0 MHz)
Progress: 43/231 (input power: 6 dB, target frequency: -20.0 MHz)
Progress: 44/231 (input power: 6 dB, target frequency: -18.0 MHz)
Progress: 45/231 (input power: 6 dB, target frequency: -16.0 MHz)
Progress: 46/231 (input power: 6 dB, target frequency: -14.0 MHz)
Progress: 47/231 (input power: 6 dB, target frequency: -12.0 MHz)
Progress: 48/231 (input power: 6 dB, target frequency: -10.0 MHz)
Progress: 49/231 (input power: 6 dB, target frequency: -8.0 MHz)
Progress: 50/231 (input power: 6 dB, target frequency: -6.0 MHz)
Progress: 51/231 (input power: 6 dB, target frequency: -4.0 MHz)
Progress: 52/231 (input power: 6 dB, target frequency: -2.0 MHz)
Progress: 53/231 (input power: 6 dB, target frequency: 0.0 MHz)
